t,vout,dctrl
0.000002,0.002638,6.000000
0.000004,0.010066,6.000000
0.000006,0.022270,6.000000
0.000008,0.039236,6.000000
0.000010,0.060949,6.000000
0.000012,0.084597,6.000000
0.000014,0.107884,6.000000
0.000016,0.130802,6.000000
0.000018,0.153342,6.000000
0.000020,0.175495,6.004000
0.000022,0.200047,6.008000
0.000024,0.229266,6.008000
0.000026,0.263130,6.008000
0.000028,0.301617,6.008000
0.000030,0.344701,6.008000
0.000032,0.390073,6.008000
0.000034,0.434919,6.008000
0.000036,0.479221,6.008000
0.000038,0.522963,6.008000
0.000040,0.566130,6.012001
0.000042,0.611496,6.012001
0.000044,0.661323,6.012001
0.000046,0.715582,6.012001
0.000048,0.774242,6.012001
0.000050,0.837270,6.012001
0.000052,0.902349,6.012001
0.000054,0.966658,6.012001
0.000056,1.030172,6.012001
0.000058,1.092867,6.012001
0.000060,1.154721,6.016001
0.000062,1.218503,6.016001
0.000064,1.286465,6.016001
0.000066,1.358573,6.016001
0.000068,1.434790,6.016001
0.000070,1.515077,6.016001
0.000072,1.597108,6.016001
0.000074,1.678057,6.016001
0.000076,1.757895,6.016001
0.000078,1.836590,6.016001
0.000080,1.914115,6.020001
0.000082,1.993232,6.020001
0.000084,2.076190,6.020001
0.000086,2.162948,6.020001
0.000088,2.253464,6.020001
0.000090,2.347694,6.020001
0.000092,2.443309,6.020001
0.000094,2.537476,6.020001
0.000096,2.630161,6.020001
0.000098,2.721330,6.020001
0.000100,2.810950,6.024001
0.000102,2.901780,6.024001
0.000104,2.996064,6.024001
0.000106,3.093758,6.024001
0.000108,3.194817,6.024001
0.000110,3.299191,6.024001
0.000112,3.404550,6.024001
0.000114,3.508058,6.024001
0.000116,3.609677,6.024001
0.000118,3.709372,6.024001
0.000120,3.807104,6.028001
0.000122,3.905633,6.028001
0.000124,4.007199,6.028001
0.000126,4.111757,6.028001
0.000128,4.219258,6.028001
0.000130,4.329654,6.028001
0.000132,4.440609,6.028001
0.000134,4.549289,6.028001
0.000136,4.655653,6.028001
0.000138,4.759666,6.028001
0.000140,4.861288,6.032001
0.000142,4.963277,6.032001
0.000144,5.067874,6.032001
0.000146,5.175034,6.032001
0.000148,5.284704,6.032001
0.000150,5.396841,6.032001
0.000152,5.509108,6.032001
0.000154,5.618667,6.032001
0.000156,5.725483,6.032001
0.000158,5.829518,6.032001
0.000160,5.930737,6.032001
0.000162,6.031895,6.032001
0.000164,6.135236,6.032001
0.000166,6.240714,6.032001
0.000168,6.348282,6.032001
0.000170,6.457895,6.032001
0.000172,6.567219,6.032001
0.000174,6.673419,6.032001
0.000176,6.776462,6.032001
0.000178,6.876310,6.032001
0.000180,6.972931,6.028001
0.000182,7.069085,6.028001
0.000184,7.167018,6.028001
0.000186,7.266686,6.028001
0.000188,7.368048,6.028001
0.000190,7.471057,6.028001
0.000192,7.573386,6.028001
0.000194,7.672204,6.028001
0.000196,7.767479,6.028001
0.000198,7.859179,6.028001
0.000200,7.947276,6.024001
0.000202,8.034534,6.024001
0.000204,8.123200,6.024001
0.000206,8.213241,6.024001
0.000208,8.304614,6.024001
0.000210,8.397282,6.024001
0.000212,8.488919,6.024001
0.000214,8.576702,6.024001
0.000216,8.660600,6.024001
0.000218,8.740589,6.024001
0.000220,8.816647,6.020001
0.000222,8.891541,6.020001
0.000224,8.967529,6.020001
0.000226,9.044579,6.020001
0.000228,9.122654,6.020001
0.000230,9.201723,6.020001
0.000232,9.279468,6.020001
0.000234,9.353069,6.020001
0.000236,9.422506,6.020001
0.000238,9.487757,6.020001
0.000240,9.548807,6.016001
0.000242,9.608433,6.016001
0.000244,9.668896,6.016001
0.000246,9.730168,6.016001
0.000248,9.792224,6.016001
0.000250,9.855040,6.016001
0.000252,9.916302,6.016001
0.000254,9.973200,6.016001
0.000256,10.025719,6.016001
0.000258,10.073847,6.016001
0.000260,10.117573,6.012001
0.000262,10.159681,6.012001
0.000264,10.202440,6.012001
0.000266,10.245831,6.012001
0.000268,10.289839,6.012001
0.000270,10.334439,6.012001
0.000272,10.377333,6.012001
0.000274,10.415714,6.012001
0.000276,10.449576,6.012001
0.000278,10.478915,6.012001
0.000280,10.503728,6.008000
0.000282,10.526807,6.008000
0.000284,10.550427,6.008000
0.000286,10.574579,6.008000
0.000288,10.599254,6.008000
0.000290,10.624438,6.008000
0.000292,10.647839,6.008000
0.000294,10.666655,6.008000
0.000296,10.680893,6.008000
0.000298,10.690554,6.008000
0.000300,10.695643,6.004000
0.000302,10.698961,6.004000
0.000304,10.702793,6.004000
0.000306,10.707135,6.004000
0.000308,10.711986,6.004000
0.000310,10.717340,6.004000
0.000312,10.720915,6.004000
0.000314,10.719916,6.004000
0.000316,10.714355,6.004000
0.000318,10.704245,6.004000
0.000320,10.689596,6.000000
0.000322,10.673217,6.000000
0.000324,10.657401,6.000000
0.000326,10.642152,6.000000
0.000328,10.627475,6.000000
0.000330,10.613379,6.000000
0.000332,10.597073,6.000000
0.000334,10.576670,6.000000
0.000336,10.555535,6.000000
0.000338,10.534443,6.000000
0.000340,10.513393,5.996000
0.000342,10.492713,5.996000
0.000344,10.472677,5.996000
0.000346,10.453291,5.996000
0.000348,10.434563,5.996000
0.000350,10.416495,5.996000
0.000352,10.396588,5.996000
0.000354,10.375814,5.996000
0.000356,10.355082,5.996000
0.000358,10.334390,5.996000
0.000360,10.313740,5.992000
0.000362,10.293503,5.992000
0.000364,10.273989,5.992000
0.000366,10.255203,5.992000
0.000368,10.237152,5.992000
0.000370,10.219842,5.992000
0.000372,10.200624,5.992000
0.000374,10.180241,5.992000
0.000376,10.159898,5.992000
0.000378,10.139596,5.992000
0.000380,10.119335,5.987999
0.000382,10.099529,5.987999
0.000384,10.080523,5.987999
0.000386,10.062322,5.987999
0.000388,10.044931,5.987999
0.000390,10.028357,5.987999
0.000392,10.009854,5.987999
0.000394,9.989853,5.987999
0.000396,9.969891,5.987999
0.000398,9.949969,5.987999
0.000400,9.930087,5.983999
0.000402,9.910701,5.983999
0.000404,9.892189,5.983999
0.000406,9.874556,5.983999
0.000408,9.857807,5.983999
0.000410,9.841948,5.983999
0.000412,9.824191,5.983999
0.000414,9.804561,5.983999
0.000416,9.784969,5.983999
0.000418,9.765417,5.983999
0.000420,9.745903,5.979999
0.000422,9.726926,5.979999
0.000424,9.708893,5.979999
0.000426,9.691813,5.979999
0.000428,9.675689,5.979999
0.000430,9.660527,5.979999
0.000432,9.643538,5.979999
